name;align;eye;hair;sex;appearances;first_appearance
Amanda Fallows (Earth-616);;Голубые глаза;Черные волосы;Женский персонаж;1;1989
Amber D\u2019Alexis (Earth-616);Злой персонаж;Голубые глаза;Черные волосы;Женский персонаж;1;1989
Anthos (Pheragot) (Earth-616);;;Черные волосы;Мужской персонаж;1;1989
Aristis (Earth-616);;;;Мужской персонаж;1;1989
Azunbulxibar (Earth-616);;;;Мужской персонаж;1;1989
Balaal (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;1;1989
Baldric (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;1;1989
Banjo (Earth-616);;Черные глаза;Каштановые волосы;Мужской персонаж;1;1989
Barber (New Men) (Earth-616);;;;;1;1989
Beverly Strange (Earth-616);;;;Женский персонаж;1;1989
Boomer (Reject) (Earth-616);Добрый персонаж;;Без волос;Мужской персонаж;1;1989
Buzzsaw (Children of Heaven) (Earth-616);;Темно-карие глаза;Каштановые волосы;Мужской персонаж;1;1989
Cadaver (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Carol Rayne (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;1;1989
Coal (Earth-616);Злой персонаж;;;;1;1989
Colin Richard (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1989
Colonel Okada (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1989
Crab (Earth-616);Злой персонаж;;Русые волосы;Женский персонаж;1;1989
Damon Joquez (Earth-616);;;Черные волосы;Мужской персонаж;1;1989
Dexter Rayne (Earth-616);;;Каштановые волосы;Мужской персонаж;1;1989
Egghead (Bunsen Burners) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Eldred (Earth-616);;;Черные волосы;Мужской персонаж;1;1989
Ellie Jones (Earth-616);;;;Женский персонаж;1;1989
Epititus (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;1;1989
Executioner (Enchantress Pawn) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Feathered Felon (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Ferret (Earth-616);Добрый персонаж;;;;1;1989
Gallon (Asgardian) (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1989
Georgie (criminal) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Glimda (Earth-616);;;;Женский персонаж;1;1989
Gormagga Kraal (Earth-616);Злой персонаж;Желтые глаза;;Мужской персонаж;1;1989
Gregory Smoot (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Gretchen Carrenna (Earth-616);Нейтральный персонаж;Черные глаза;Русые волосы;Женский персонаж;1;1989
Haaken (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1989
Harkonin (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1989
Inoshiro Kondo (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Jak (Earth-616);Нейтральный персонаж;;;Мужской персонаж;1;1989
Kamara (Earth-616);Нейтральный персонаж;;;Мужской персонаж;1;1989
Kerjos (Earth-616);;;Черные волосы;Мужской персонаж;1;1989
Klytus (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Larrs (Earth-616);Нейтральный персонаж;;;;1;1989
Lightning Bug (Morlock) (Earth-616);Нейтральный персонаж;;;;1;1989
Madeline Reznek (Earth-616);;;;Женский персонаж;1;1989
Malone (Mercenary) (Earth-616);;Темно-карие глаза;Каштановые волосы;Мужской персонаж;1;1989
Manuel Diego (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;1;1989
Michael (Children of Heaven) (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;1;1989
Mike Ivy (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1989
Minnow (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Mohawk (Children of Heaven) (Earth-616);Добрый персонаж;;Белые волосы;Женский персонаж;1;1989
Mussels (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Nikolai Mordo (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Ossem (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;1;1989
Panther (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;1;1989
Paolo Montesi (Earth-616);;;;Мужской персонаж;1;1989
Phillip (Children of Heaven) (Earth-616);;Темно-карие глаза;Белые волосы;Мужской персонаж;1;1989
Puma (Earth-616);Добрый персонаж;;;;1;1989
Quantum Mechanic (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Rafi (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1989
Richie (criminal) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Rico Gawren (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1989
Roberto Carlos (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;1;1989
Rust (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Seahorse (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Seaweed (Earth-616);Злой персонаж;;Русые волосы;Мужской персонаж;1;1989
Spike (Deviant) (Earth-616);Злой персонаж;;;;1;1989
String (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Swen (Earth-616);Нейтральный персонаж;;;Мужской персонаж;1;1989
Tareva (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Женский персонаж;1;1989
Teacher (Earth-616);Злой персонаж;;;;1;1989
Thomas Bradley (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;1;1989
Todd Tremaine (Earth-616);Нейтральный персонаж;;;Мужской персонаж;1;1989
Trittex (Earth-616);Злой персонаж;;Без волос;Мужской персонаж;1;1989
Valentina Tupulov (Earth-616);;;;Женский персонаж;1;1989
Voodoo (Donny) (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;1;1989
Vron-Ikka (Earth-616);Нейтральный персонаж;Зеленые глаза;;Женский персонаж;1;1989
William Goldman (Earth-616);;;;Мужской персонаж;1;1989
Wrakk (Earth-616);Нейтральный персонаж;;;Мужской персонаж;1;1989
Wylar (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Yoof (Earth-616);;;;;1;1989
Yorlo (Earth-616);Нейтральный персонаж;;;Мужской персонаж;1;1989
Zalph (Earth-616);Нейтральный персонаж;;;Мужской персонаж;1;1989
Zantor (Earth-616);Злой персонаж;;;Мужской персонаж;1;1989
Zhilla Char (Earth-616);Злой персонаж;;Зеленые волосы;Женский персонаж;1;1989
Alan Burstyn (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;1;1990
Aleister Kane (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1990
Alex (Morlock) (Earth-616);Нейтральный персонаж;;;;1;1990
Amelia Greer (Earth-616);;Темно-карие глаза;Черные волосы;Женский персонаж;1;1990
Andrei Rostov (Earth-616);;;Каштановые волосы;Мужской персонаж;1;1990
Armand Jones (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Armory (Heavy Metal) (Earth-616);Злой персонаж;;;;1;1990
Auggie Slater (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1990
Avlekete (Earth-616);Добрый персонаж;;Черные волосы;Женский персонаж;1;1990
Azure (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Bellos (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1990
Bert Packer (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1990
Biawak (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Bill (Secret Hospital) (Earth-616);;;;Мужской персонаж;1;1990
Birdbeast (Earth-616);Злой персонаж;;Без волос;;1;1990
Borgus (Earth-616);Злой персонаж;;Русые волосы;Мужской персонаж;1;1990
Boulder (Kinsmen) (Earth-616);Добрый персонаж;;Черные волосы;Женский персонаж;1;1990
Brigitte Lahti (Earth-616);Злой персонаж;;Русые волосы;Женский персонаж;1;1990
Buddy (Earth-616);;;Каштановые волосы;Мужской персонаж;1;1990
Buzzsaw (Power Tools) (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1990
Cameron Leonard (Earth-616);Злой персонаж;Белые глаза;;Мужской персонаж;1;1990
Chilovkyev Machina (Earth-616);Злой персонаж;Голубые глаза;;Мужской персонаж;1;1990
Chudar (Earth-616);Злой персонаж;Красные глаза;Без волос;Мужской персонаж;1;1990
Cooter (Earth-616);Злой персонаж;;Русые волосы;Женский персонаж;1;1990
Dagal (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1990
David Slowman (Earth-616);;;Черные волосы;;1;1990
Doctor Hatton (Earth-616);Нейтральный персонаж;;Черные волосы;Мужской персонаж;1;1990
Dutch Rosenblatt (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Dyke (Earth-616);Добрый персонаж;;;Женский персонаж;1;1990
Eddie (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;1;1990
Eschu (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1990
Esmerelda Castiglione (Earth-616);Нейтральный персонаж;;Белые волосы;Женский персонаж;1;1990
Ezili (Earth-616);Добрый персонаж;;;Женский персонаж;1;1990
Fire Hand (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;1;1990
Firefly (Shroud Foe) (Earth-616);Злой персонаж;;Черные волосы;Женский персонаж;1;1990
Freak Quincy (Earth-616);Нейтральный персонаж;;;Мужской персонаж;1;1990
Garloff (Earth-616);;;Черные волосы;Мужской персонаж;1;1990
Giacomo Montesi (Earth-616);;;;Мужской персонаж;1;1990
Handsaw (Power Tools) (Earth-616);Злой персонаж;;;Женский персонаж;1;1990
Heavy Metal Jacket (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Hubie Packer (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;1;1990
James Lukus (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;1;1990
Jasper Keaton (Earth-616);;;;Мужской персонаж;1;1990
Jerry Weiderman (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Jesus Badalemente (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;1;1990
Jesus Suarez (Earth-616);;;;Мужской персонаж;1;1990
Jethro Prufrock (Earth-616);Злой персонаж;;Белые волосы;Мужской персонаж;1;1990
Joyride (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Killdozer (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Leon Stort (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Les (ESU) (Earth-616);Нейтральный персонаж;;;Мужской персонаж;1;1990
Lifeline (Earth-616);Нейтральный персонаж;;Русые волосы;Мужской персонаж;1;1990
Louis Joubert (Earth-616);Нейтральный персонаж;;Черные волосы;Мужской персонаж;1;1990
Marcello Montesi (Earth-616);;;;Мужской персонаж;1;1990
Margaret Voelker;;;;Женский персонаж;1;1990
Martu (Earth-616);;;;Мужской персонаж;1;1990
Mary Beck (Earth-616);;;Русые волосы;Женский персонаж;1;1990
Master Elo (Earth-616);Добрый персонаж;;Белые волосы;Мужской персонаж;1;1990
Mawu (Earth-616);Добрый персонаж;;Белые волосы;Женский персонаж;1;1990
Michael (Genoshan Mutate) (Earth-616);;Темно-карие глаза;;Мужской персонаж;1;1990
Miclas (Earth-616);Злой персонаж;;;;1;1990
Milena (Earth-616);Добрый персонаж;;;Женский персонаж;1;1990
Mindstorm (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Missy (Morlock) (Earth-616);Нейтральный персонаж;;;Женский персонаж;1;1990
Moloch (Demon) (Earth-616);Злой персонаж;;;;1;1990
Mubaru (Earth-616);;Темно-карие глаза;Черные волосы;Мужской персонаж;1;1990
Napalm (Grip) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Oort (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Otmu (Earth-616);Нейтральный персонаж;;Без волос;Мужской персонаж;1;1990
Paul Hazlett (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Persuader robot;;;Без волос;;1;1990
Pick Axe (Power Tools) (Earth-616);Злой персонаж;;Русые волосы;Мужской персонаж;1;1990
Randall Pierce (Earth-616);Добрый персонаж;;Русые волосы;Мужской персонаж;1;1990
Rapscallion (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1990
Redblade (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1990
Rocco Castiglione (Earth-616);Нейтральный персонаж;Голубые глаза;Белые волосы;Мужской персонаж;1;1990
Ruby (Ravens) (Earth-616);Злой персонаж;;;Женский персонаж;1;1990
Rudy Vanderberger (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;1;1990
Saja (Earth-616);Нейтральный персонаж;Красные глаза;;Мужской персонаж;1;1990
Samson (Morlock) (Earth-616);;;Розовые волосы;Мужской персонаж;1;1990
Sayf ad-Din Abu Bakr al-Malik al-Adil (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;1;1990
Scope (Criminal) (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1990
Sean Grahl (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1990
Se\u00f1or Muerte (Terrorist) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Shara (Earth-616);Добрый персонаж;;;Женский персонаж;1;1990
Sinifer (Earth-616);Нейтральный персонаж;;Без волос;;1;1990
Slagmire (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;1;1990
Soar (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1990
Soong (Earth-616);;;Черные волосы;Мужской персонаж;1;1990
Sprint (Grip) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Stalker (Mutant) (Earth-616);;Голубые глаза;Русые волосы;Мужской персонаж;1;1990
Steel-Fist (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Stevie (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1990
Sylvia (ESU) (Earth-616);Нейтральный персонаж;;Черные волосы;Женский персонаж;1;1990
Talks-To-Spirits (Earth-616);Добрый персонаж;;Белые волосы;Мужской персонаж;1;1990
Tamone (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1990
Targi (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;1;1990
Teleplex (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1990
Theodore LeSeig (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Tom Nakadai (Earth-616);;;;Мужской персонаж;1;1990
Tone-Def (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Torg (Agent of Frederick Dirkreich) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Triphammer (Power Tools) (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;1;1990
Ualu (Earth-616);Нейтральный персонаж;;Без волос;Мужской персонаж;1;1990
Uzi (Grip) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Varney (Mortimer) (Earth-616);;Разноцветные глаза;Каштановые волосы;Мужской персонаж;1;1990
Vega-Superior (Earth-616);Злой персонаж;Красные глаза;Без волос;;1;1990
Vice (Grip) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Vice (Power Tools) (Earth-616);Злой персонаж;;Русые волосы;Мужской персонаж;1;1990
Vincent Gardner (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Wee One (Earth-616);Добрый персонаж;;Белые волосы;Мужской персонаж;1;1990
Wildmoon (Earth-616);Злой персонаж;;Белые волосы;Мужской персонаж;1;1990
Willow-Dancer (Earth-616);Добрый персонаж;;Каштановые волосы;Женский персонаж;1;1990
Windmill (Grip) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Yoshida Asano (Earth-616);Злой персонаж;;;Мужской персонаж;1;1990
Zenith (Earth-616);;;;Мужской персонаж;1;1990
11-Ball (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
9-Ball (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Aa-Gorn (Earth-616);Нейтральный персонаж;;Черные волосы;Мужской персонаж;1;1991
Acba (Earth-616);Нейтральный персонаж;Белые глаза;Без волос;Мужской персонаж;1;1991
Ahh (Earth-616);;;Белые волосы;Женский персонаж;1;1991
Alex Lipton (Earth-616);Нейтральный персонаж;;;Мужской персонаж;1;1991
Alphan (Earth-616);Нейтральный персонаж;;;;1;1991
Avandalia (Earth-616);Злой персонаж;Белые глаза;Русые волосы;Женский персонаж;1;1991
Balaban (Earth-616);;;;Мужской персонаж;1;1991
Bertram (Earth-616);Добрый персонаж;Голубые глаза;Без волос;Мужской персонаж;1;1991
Blowtorch (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Bouncer (Speedball Foe) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Bruuk (Earth-616);Нейтральный персонаж;Желтые глаза;Без волос;;1;1991
Bulwark (Berditchev Agent) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Calumet (Earth-616);Нейтральный персонаж;;;Мужской персонаж;1;1991
Cary Albertson (Earth-616);;;Каштановые волосы;Мужской персонаж;1;1991
Cassandra Romulus (Earth-616);Злой персонаж;;Русые волосы;Женский персонаж;1;1991
Chimera (Femizons) (Earth-616);Злой персонаж;;Каштановые волосы;Женский персонаж;1;1991
Christina Aguilar (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Женский персонаж;1;1991
Clarissa (Asgardian) (Earth-616);Добрый персонаж;;;Женский персонаж;1;1991
Cobweb (Sleepwalker Foe) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Cypress (Roxxon Agent) (Earth-616);Злой персонаж;Зеленые глаза;Каштановые волосы;Мужской персонаж;1;1991
Delta Nine (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Мужской персонаж;1;1991
Dovina (Earth-616);;Голубые глаза;Русые волосы;Женский персонаж;1;1991
Edda (Watcher) (Earth-616);Нейтральный персонаж;;Без волос;Мужской персонаж;1;1991
Editor (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;1;1991
Edward Vanelli (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Egma (Earth-616);Нейтральный персонаж;;;Мужской персонаж;1;1991
Elematrix (Earth-616);Злой персонаж;;;;1;1991
Erik Saltz (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;1;1991
Ernest Mills (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Euphy Aguilar (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Женский персонаж;1;1991
Fangu (Earth-616);Добрый персонаж;;Без волос;Мужской персонаж;1;1991
Franklin Hume (Earth-616);;;;Мужской персонаж;1;1991
Gene Hoffman (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1991
General Brinkhaus (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Gilmore Hodge (Earth-616);Добрый персонаж;Темно-карие глаза;;Мужской персонаж;1;1991
Gregor Smirnoff (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Grylak (Earth-616);Злой персонаж;Красные глаза;Фиолетовые волосы;Мужской персонаж;1;1991
Haag (Deviant) (Earth-616);Злой персонаж;;;Женский персонаж;1;1991
Harry Delgado (Earth-616);;;;Мужской персонаж;1;1991
Hypertron 1.0 (Chester) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Iceworm (Earth-616);Злой персонаж;;Без волос;;1;1991
Inorganic Technotroid (Earth-616);;;;;1;1991
Instant Replay (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;1;1991
Itzhak Berditchev (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Izanami (The Hand) (Earth-616);Злой персонаж;;Черные волосы;Женский персонаж;1;1991
Jacqueline Freeman (Earth-616);;;;Женский персонаж;1;1991
Jake Miller (Earth-616);Нейтральный персонаж;Серые глаза;Каштановые волосы;Мужской персонаж;1;1991
James Fletcher (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1991
James Howlett (War Skrull) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Joey (Morlock) (Earth-616);Нейтральный персонаж;;;Мужской персонаж;1;1991
Joey Farrell (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1991
John Rozum (Earth-616);;;;Мужской персонаж;1;1991
Jonothon Cayre (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Jubilation Lee (War Skrull) (Earth-616);Злой персонаж;;;;1;1991
Kalee Batrei (Earth-616);Злой персонаж;;Черные волосы;Женский персонаж;1;1991
Katinka (Earth-616);;;Белые волосы;Женский персонаж;1;1991
Koln (Earth-616);Нейтральный персонаж;Желтые глаза;Без волос;;1;1991
Kyral (Earth-616);Добрый персонаж;Голубые глаза;Белые волосы;Мужской персонаж;1;1991
Malachi Oz (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Martin Freeman (Earth-616);;;;Мужской персонаж;1;1991
Marvin Bailey (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1991
Mechadoom (Earth-616);Злой персонаж;;;;1;1991
Michael Shauneghan (Earth-616);Нейтральный персонаж;;Каштановые волосы;Мужской персонаж;1;1991
Moth (Earth-616);Злой персонаж;;Черные волосы;Женский персонаж;1;1991
Myron Schmertz (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Nanabozho (Earth-616);;;;Мужской персонаж;1;1991
Nelson Gruber (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;1;1991
Nicos Pelletier (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Norm (LMD) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Olar (Earth-616);;;;Мужской персонаж;1;1991
Otto Weiss (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Patty Kurlychek (Earth-616);Добрый персонаж;;;Женский персонаж;1;1991
Pinta (Earth-616);Нейтральный персонаж;;;Женский персонаж;1;1991
Pixie (Morlocks) (Earth-616);Нейтральный персонаж;;Каштановые волосы;Женский персонаж;1;1991
Purty Larry (Android) (Earth-616);Злой персонаж;;Русые волосы;;1;1991
Ree (Earth-616);Добрый персонаж;;Без волос;Мужской персонаж;1;1991
Sardan (Earth-616);Добрый персонаж;;Без волос;Мужской персонаж;1;1991
Shalak (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1991
Shiv (Gangster) (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1991
Slambeaux (Android) (Earth-616);Злой персонаж;;Черные волосы;;1;1991
Spear (Chaste) (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1991
Stinger (Golden Age Angel Foe) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Surge (Alien) (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;1;1991
Suzanne Gaffney (Earth-616);Нейтральный персонаж;;Русые волосы;Женский персонаж;1;1991
Tenelle (Earth-616);Злой персонаж;Зеленые глаза;Черные волосы;Женский персонаж;1;1991
The Composite Being (Earth-616);;Белые глаза;Черные волосы;Мужской персонаж;1;1991
Thobadzistshin (Earth-616);;;Черные волосы;Мужской персонаж;1;1991
Twit (Android) (Earth-616);Злой персонаж;;Каштановые волосы;;1;1991
Tyrannus Cordin (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Visara (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Warwolf (Cybertek) (Earth-616);Злой персонаж;;;;1;1991
Wayopex (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1991
Windstorm (Earth-616);Злой персонаж;Темно-карие глаза;Русые волосы;Женский персонаж;1;1991
Xak (Earth-616);Нейтральный персонаж;Желтые глаза;Без волос;;1;1991
Zalaski (Earth-616);Злой персонаж;;;Мужской персонаж;1;1991
Adjunct (Earth-616);Добрый персонаж;Фиолетовые глаза;Фиолетовые волосы;Женский персонаж;1;1992
Aeish (Earth-616);;;;Женский персонаж;1;1992
Amalgam (Earth-616);;Красные глаза;Черные волосы;Женский персонаж;1;1992
Amy Brewer (Earth-616);Нейтральный персонаж;;Русые волосы;Женский персонаж;1;1992
Anatoly Vonya (Earth-616);Злой персонаж;;;Мужской персонаж;1;1992
Andre (Hydra) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1992
Animator (Earth-616);Злой персонаж;;;Мужской персонаж;1;1992
Arlo Samuelson (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;1;1992
Basenji (Earth-616);Злой персонаж;;Черные волосы;Женский персонаж;1;1992
Basilisk (Hellbent) (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;1;1992
Bernard LeBranche (Earth-616);;Темно-карие глаза;;Мужской персонаж;1;1992
Blackball (Earth-616);Злой персонаж;;;Мужской персонаж;1;1992
Brain Cell (Kevin) (Earth-616);;Желтые глаза;Русые волосы;Мужской персонаж;1;1992
Carlos Alvarez (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;1;1992
Chester Harrigan (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1992
Cinder (Earth-616);Злой персонаж;;;Мужской персонаж;1;1992
Clemence Duval (Earth-616);Злой персонаж;;;Женский персонаж;1;1992
Corben Rubinstein (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1992
Creed (Lilin) (Earth-616);;;;Мужской персонаж;1;1992
Dar Mal Goth (Earth-616);Злой персонаж;;;Мужской персонаж;1;1992
Eugene Stone (Earth-616);Злой персонаж;;;Мужской персонаж;1;1992
Gaffney (Earth-8410);Нейтральный персонаж;;Русые волосы;Мужской персонаж;1;1992
Galen (Earth-616);Нейтральный персонаж;;Без волос;Мужской персонаж;1;1992
Garft (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;1;1992
Gentle Gregor (Earth-616);;;;Мужской персонаж;1;1992
George Chesterford (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;1;1992
Glomm (Earth-616);Злой персонаж;Красные глаза;Без волос;Мужской персонаж;1;1992
Gloria Justin (Earth-616);;;;Женский персонаж;1;1992
Griefsavor;Злой персонаж;;;;1;1992
Harvey Glass (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;1;1992
Holmes (Hydra) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1992
Idnar (Earth-616);;;;;1;1992
Ismalda (Earth-616);Злой персонаж;;;Женский персонаж;1;1992
J. Pennington Pennypacker (Earth-616);;;;Мужской персонаж;1;1992
Jacqueline Tavarez (Earth-616);Добрый персонаж;;Черные волосы;Женский персонаж;1;1992
Jalfaha Dahn (Earth-616);;;;Мужской персонаж;1;1992
Jan Radar (Earth-616);Злой персонаж;;Русые волосы;Мужской персонаж;1;1992
Jean Grey (Doppelganger) (Earth-616);Злой персонаж;;;Женский персонаж;1;1992
Jeter Kan Toon (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1992
Joanne Beaubier (Earth-616);Нейтральный персонаж;;;Женский персонаж;1;1992
Jonathan Storm (Doppelganger) (Earth-616);Злой персонаж;;;Мужской персонаж;1;1992
Kevin Wilson (Earth-616);Злой персонаж;;;Мужской персонаж;1;1992
Kruggar (Earth-616);Нейтральный персонаж;;Без волос;Мужской персонаж;1;1992
Malcolm Codsworth (Earth-616);Нейтральный персонаж;;;Мужской персонаж;1;1992
Mandibus (Earth-616);;;Без волос;Мужской персонаж;1;1992
Marc Danson (Earth-616);Добрый персонаж;;;Мужской персонаж;1;1992
Marianne Waters (Earth-616);Добрый персонаж;;Русые волосы;Женский персонаж;1;1992
Maxwell Wilson (Earth-616);Злой персонаж;Черные глаза;Черные волосы;Мужской персонаж;1;1992
MeMe (Morlock) (Earth-616);Нейтральный персонаж;;;Мужской персонаж;1;1992
